batch_index,metric,tau,area,comp,suff
2,mae,12,0.075,14.969419,22.314301
2,mae,12,0.1,16.591274,23.092491
2,mae,12,0.15,18.79261,23.443518
2,mse,12,0.05,9.303253,29.094456
2,mse,12,0.075,14.941201,33.593609
2,mse,12,0.1,18.423658,35.123684
2,mse,12,0.15,22.991203,35.988937
2,mae,13,0.05,11.454831,20.233137
2,mae,13,0.075,15.294617,22.048355
2,mae,13,0.1,17.334249,22.054653
2,mae,13,0.15,19.280525,23.182865
2,mse,13,0.05,9.383146,28.216581
2,mse,13,0.075,15.810262,31.696995
2,mse,13,0.1,19.661777,31.413269
2,mse,13,0.15,24.280935,34.05555
2,mae,14,0.05,12.084467,19.241762
2,mae,14,0.075,15.424847,20.68866
2,mae,14,0.1,17.304531,21.259773
2,mae,14,0.15,20.140238,21.622841
2,mse,14,0.05,10.274806,24.104918
2,mse,14,0.075,15.938484,27.673367
2,mse,14,0.1,19.58267,29.042488
2,mse,14,0.15,25.456196,30.493828
2,mae,15,0.05,11.89963,19.29635
2,mae,15,0.075,14.581343,20.759277
2,mae,15,0.1,16.690781,22.090214
2,mae,15,0.15,19.2724,22.753111
2,mse,15,0.05,10.085056,23.763203
2,mse,15,0.075,14.439215,27.212461
2,mse,15,0.1,18.027422,30.18124
2,mse,15,0.15,23.423536,31.714804
2,mae,16,0.05,12.581329,19.579388
2,mae,16,0.075,15.2407,20.143896
2,mae,16,0.1,16.619808,21.590811
2,mae,16,0.15,19.444334,22.0009
2,mse,16,0.05,10.936499,23.921734
2,mse,16,0.075,14.936607,25.644932
2,mse,16,0.1,17.222477,29.034138
2,mse,16,0.15,23.502762,29.714474
2,mae,17,0.05,13.100985,20.170521
2,mae,17,0.075,16.910353,21.277348
2,mae,17,0.1,18.552269,21.78759
2,mae,17,0.15,20.317371,21.731701
2,mse,17,0.05,11.498821,25.224813
2,mse,17,0.075,17.749325,27.857225
2,mse,17,0.1,21.31081,29.194202
2,mse,17,0.15,25.170097,29.032051
2,mae,18,0.05,11.806253,20.768873
2,mae,18,0.075,15.252527,21.954737
2,mae,18,0.1,16.336975,22.47443
2,mae,18,0.15,18.260286,22.637903
2,mse,18,0.05,9.778211,26.755367
2,mse,18,0.075,15.490318,29.331051
2,mse,18,0.1,17.393715,30.760462
2,mse,18,0.15,21.522974,30.824753
2,mae,19,0.05,12.227043,22.132971
2,mae,19,0.075,14.170123,22.534386
2,mae,19,0.1,16.604403,22.999884
2,mae,19,0.15,19.117584,22.899879
2,mse,19,0.05,10.005173,29.548084
2,mse,19,0.075,13.735132,30.384953
2,mse,19,0.1,18.236073,31.191374
2,mse,19,0.15,23.770319,30.712667
2,mae,20,0.05,11.889855,22.047445
2,mae,20,0.075,15.012026,22.385258
2,mae,20,0.1,16.9042,22.493645
2,mae,20,0.15,19.737698,22.56279
2,mse,20,0.05,9.858481,29.30027
2,mse,20,0.075,14.836071,30.424446
2,mse,20,0.1,18.627075,30.504017
2,mse,20,0.15,25.07935,30.837355
2,mae,21,0.05,12.04607,21.884523
2,mae,21,0.075,14.47393,22.114361
2,mae,21,0.1,16.053444,22.673609
2,mae,21,0.15,18.054031,22.720081
2,mse,21,0.05,9.814242,29.304596
2,mse,21,0.075,13.94982,29.871609
2,mse,21,0.1,16.673067,31.276758
2,mse,21,0.15,21.374815,31.680874
2,mae,22,0.05,11.354691,21.868671
2,mae,22,0.075,14.773931,22.633705
2,mae,22,0.1,16.186083,22.139702
2,mae,22,0.15,19.472876,22.418766
2,mse,22,0.05,9.828558,29.241962
2,mse,22,0.075,14.744381,31.24123
2,mse,22,0.1,17.142138,30.500336
2,mse,22,0.15,23.904003,30.854568
2,mae,23,0.05,12.374485,21.44573
2,mae,23,0.075,14.438206,21.852245
2,mae,23,0.1,15.713951,22.082691
2,mae,23,0.15,18.27449,21.7117
2,mse,23,0.05,10.899908,28.532457
2,mse,23,0.075,14.942423,29.88866
2,mse,23,0.1,17.05368,31.002501
2,mse,23,0.15,22.474174,29.718929
3,mae,0,0.05,9.774842,20.836918
3,mae,0,0.075,11.031006,20.919161
3,mae,0,0.1,11.836232,21.490635
3,mae,0,0.15,13.266085,21.628876
3,mse,0,0.05,6.451224,28.66082
3,mse,0,0.075,8.252953,29.275852
3,mse,0,0.1,9.361835,30.795773
3,mse,0,0.15,11.271162,30.877184
3,mae,1,0.05,10.105013,20.602558
3,mae,1,0.075,12.030211,21.054939
3,mae,1,0.1,13.067272,21.602211
3,mae,1,0.15,14.35573,22.66325
3,mse,1,0.05,6.800991,28.418629
3,mse,1,0.075,9.480364,29.593391
3,mse,1,0.1,11.070229,31.008976
3,mse,1,0.15,13.458447,33.090759
3,mae,2,0.05,11.204662,20.055687
3,mae,2,0.075,12.800145,21.217602
3,mae,2,0.1,13.958473,22.096331
3,mae,2,0.15,15.806808,23.570778
3,mse,2,0.05,8.056786,27.651619
3,mse,2,0.075,10.390141,30.445892
3,mse,2,0.1,11.991773,32.152767
3,mse,2,0.15,16.07703,35.642879
3,mae,3,0.05,11.43709,20.343296
3,mae,3,0.075,13.01824,21.464581
3,mae,3,0.1,14.040756,22.24374
3,mae,3,0.15,15.546531,23.823456
3,mse,3,0.05,8.343451,27.891083
3,mse,3,0.075,10.573348,30.720142
3,mse,3,0.1,12.241989,32.813061
3,mse,3,0.15,15.414299,36.566467
3,mae,4,0.05,11.292924,20.757607
3,mae,4,0.075,12.8593,22.302301
3,mae,4,0.1,13.837547,23.406921
3,mae,4,0.15,16.425362,24.053349
3,mse,4,0.05,8.291258,28.606441
3,mse,4,0.075,10.644049,32.672928
3,mse,4,0.1,12.291084,35.440285
3,mse,4,0.15,17.557693,37.729187
3,mae,5,0.05,12.137991,20.398655
3,mae,5,0.075,14.500512,21.975895
3,mae,5,0.1,15.507624,23.039038
3,mae,5,0.15,17.4561,24.019817
3,mse,5,0.05,9.20363,27.801971
3,mse,5,0.075,12.991211,32.173786
3,mse,5,0.1,15.108208,35.169155
3,mse,5,0.15,19.586363,37.57843
3,mae,6,0.05,12.890392,20.793678
3,mae,6,0.075,15.301639,21.882107
3,mae,6,0.1,16.870827,22.473421
3,mae,6,0.15,19.015783,24.126335
3,mse,6,0.05,9.896372,28.867834
3,mse,6,0.075,13.778698,31.911648
3,mse,6,0.1,17.511112,33.797989
3,mse,6,0.15,22.48988,37.218891
3,mae,7,0.05,12.79579,20.654024
3,mae,7,0.075,15.314847,21.419184
3,mae,7,0.1,17.201366,22.267818
3,mae,7,0.15,17.840096,23.336651
3,mse,7,0.05,9.654968,29.129711
3,mse,7,0.075,13.794216,30.909512
3,mse,7,0.1,18.036953,32.745811
3,mse,7,0.15,20.311783,35.828133
3,mae,8,0.05,12.89183,20.689903
3,mae,8,0.075,16.092665,20.967066
3,mae,8,0.1,17.12977,21.809841
3,mae,8,0.15,18.912775,23.070808
3,mse,8,0.05,9.884003,28.717848
3,mse,8,0.075,15.029194,30.01375
3,mse,8,0.1,17.393898,32.231945
3,mse,8,0.15,22.044971,35.328232
3,mae,9,0.05,12.550996,19.660658
3,mae,9,0.075,14.828097,20.369164
3,mae,9,0.1,16.326523,21.201246
3,mae,9,0.15,19.591263,22.374554
3,mse,9,0.05,9.569865,25.718868
3,mse,9,0.075,13.363836,28.090258
3,mse,9,0.1,16.389631,30.162384
3,mse,9,0.15,23.242031,33.17556
